"title";"reference";"requirements";"hours";"tasks";"activities";"location";"salary";"type";"period";"link"
"154";"Prácticas relaciones laborales";"51217";"Datos de interés";"4";"Confección contratos, altas y bajas, IT, accidente de trabajo por Delta, finiquitos, nóminas. . . . Manejar el programa A3nom";"Gestoria de contabilidad, laboral y fiscal";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"28/01/2019 - 28/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51217.html?locale=es"
"155";"Becario/a Marketing Latam";"51203";"Datos de interés, Inglés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Turismo, E-Tourism: Comercialización i Marketing online, Máster en Gestión Turística";"5";"La persona seleccionada dará apoyo en las siguientes funciones:- Gestión Brandcenter- Apoyo a revisión de los planes de contenidos en las redes sociales- Gestión de los acuerdos con las aerolíneas (programa de puntos)- Apoyo y seguimiento presupuestos- Seguimiento planes de Mkt de los hoteles";"Hostelería";"";"450";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51203.html?locale=es"
"156";"Prácticas en estudio de Arquitectura";"51059";"Datos de interés, Autocad, Grado de Ingeniería de Edificación, Microsoft Excel";"3";"Colaboración en la redacción de proyectos básicos y ejecutivos de obra menor y obra mayor, mediciones. Delineación de planos, levantamiento de plantas. Gestión de obra.";"Arquitectura";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 28/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51059.html?locale=es"
"157";"Profesor de inglés para escuela de idiomas en Esporles.";"50916";"Datos de interés, Inglés, Maestro de lengua extranjera, Grado de Estudios Ingleses, Licenciatura en filología inglesa, Maestro de educación primaria, Licenciatura en traducción y interpretación, Grado de Educación Primaria";;"Impartir clases de inglés en una escuela de idiomas de manera muy dinámica, creativa, divertida. Motivar a los alumnos. Clases 100% en inglès. Trabajamos en Versión Original.";"Idiomes";"Esporles";"A convenir";"Oferta laboral";"14/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50916.html?locale=es"
"158";"Functional QA Analyst";"51231";"Datos de interés, Inglés, Grado de Ingeniería Informática, Grado de Ingeniería Telemática, Doble titulación: grado de matemáticas y ingeniería telemática, Ingeniería técnica en telemática, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Ingeniería en informática, Java Script";;"Key individual contributor to the SCRUM team in the area of Q&A. Works with the team to ensure standard quality practices/processes are followed. Conducts end-to-end testing on applications and technology, to ensure that business, technical, functional requirements are being met throughout the sprint. Designs and Executes test scripts based upon test strategy/plans in an effort to identify defects prior to production. Tests may be manual, automated or both.We offer:Permanent position that involves the use of latest technologies designed to connect one of the biggest tourism incoming and hotel trading companies in Europe with suppliers, customers and Global Distribution Systems. We offer to our team the access to a certification program and training sessions. Responsibilities:Functional testing, automated where possible of all developments in your SCRUM team.Actively participate in the Agile ceremonies for your SRUM teamDesign of Testcases and refine acceptance criteria in coordination with Product Owners and StakeholdersImplementation, execution and monitoring of test plan for all User Stores in the current sprint in coordination with Developer/ProgrammerTest execution reporting, defect reporting, regression test revisionMaintenance and improvement of the automated framework, based on TestComplete.Contribute to continuous integration and continuous delivery process by certifying any change in the systemKey relationships: Developers, Product Owners and other colleagues in the IT departmentRequirementsDegree in Computer Science/Software Engineering or equivalentAnalytical and methodical skillsExperience in creating/automating tests in agile development environmentsFamiliarity with multi-tier, distributed systems, XML, ?Experience of Defect Management tools such as Jira, MS Team Foundation.Experience with Test Automation tools such as TestComplete or FitnesseExcellent problem solving, communication and documentation skills; fluent in English and SpanishSelf-motivated and able to work well under pressure.Proven ability to operate and succeed in a fast paced environment.Additional skills:Work experience and references in tourism industryExperience in JavaScript or similar scripting languagesISEB/ISTQB certification would be highly regardedGerman would be a benefit";"Informàtica";"Palma";"Segun el perfil";"Oferta laboral";"21/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51231.html?locale=es"
"159";"Junior Frontend Developer";"51230";"Datos de interés, Inglés, Grado en Ingeniería en Informática de Sistemas, Grado de Ingeniería Informática, Ingeniería en informática, Grado de Ingeniería Telemática, Ingeniería técnica en informática de sistemas, Ingeniería técnica en informática de gestión, Grado de Ingeniería en Informática de Gestión, Programador/a, Oracle";;"We offerLong-term project that involves the use of latest technologies designed to connect one of the biggest tourism incoming and hotel trading companies in Europe with suppliers, customers and Global Distribution Systems.This is a junior position, designed for individuals with little or no previous work experience.Are you looking for a place where to begin your career? Willing to feel the real application of Technology in one of the most demanded areas of IT today?If you feel that that the only piece missing here is your name, then join us!ResponsibilitiesDevelopment, implementation, troubleshooting and maintenance of a web application using full-stack JavaScript.Participating in quality assurance activities and continual process adjustments.Communicating with peers at a medium technical and business level to analyse / resolve incidents and maintain the interactions of the different business processes.Being able to work and communicate well with your Senior peers and your Manager to provide accurate and timely status reports.Requirements:Higher Level Education Cycle of Computer Systems Management or related fields (Ciclo Formativo Grado Superior).Basic knowledge of developing web applications with JavaScript frameworks (Sencha ExtJS or equivalent).Strong communication and documentation skills.Strong analytical and problem-solving skills.Team-player and willing to learn at a very fast pace.Additional skillsKnowledge of version control systems (git or equivalent).Knowledge in SQL (Oracle or equivalent).Visual Studio or Sublime development experience.Methodical, determined and innovative person who wants to thrive in a dynamic, agile environment.You need to be an excellent communicator.Basics in English, spoken and in writing.";"Informàtica";"Palma";"18000 - 21000";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51230.html?locale=es"
"160";"Gestión de clientes";"51183";"Datos de interés, Grado de Administración de Empresas, Castellano, Catalán, Microsoft Word, Microsoft Excel";"5";"En dependencia del Director de la Sucursal, colaborará en las labores de atención a clientes y apoyo a mediadores de seguros relacionadas con la contratación de productos desde la Sucursal y atendiendo a las incidencias que de ello puedan derivarse, haciendo uso de los diversos programas y herramientas informáticas de que se dispone.Los objetivos formativos son:•	Desarrollar el conocimiento práctico de los aspectos financieros y comerciales de la empresa en el ámbito asegurador.•	Conocer quiénes son, cómo se organizan y  desarrollan  su función los principales actores del ámbito comercial en una Sucursal de entidad aseguradora, centenaria y de ámbito nacional (seguimiento de campañas, acciones hacia la mediación,  de formación y de apoyo en su actividad comercial...).•	Aprender cómo se desarrolla la gestión del cliente interno (mediadores y compañeros) y externo (asegurados), tanto en lo relativo al proceso de suscripción de pólizas como al de prestaciones.•	Adquirir conocimientos de técnica aseguradora.•	Aprender las distintas herramientas de tecnología de la información que se utilizan en la gestión de clientes.•	Ejercitar determinadas competencias como el sentido de la responsabilidad, las habilidades de comunicación oral y escrita, la capacidad de adaptación a nuevas situaciones, la implicación personal, las relaciones en el entorno laboral, el trabajo en equipo, la orientación al cliente, la capacidad de trabajar de forma autónoma, entre otras.";"SEGUROS";"Maó";"450";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 23/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51183.html?locale=es"
"161";"System Administrator Intern";"51113";"Datos de interés, Grado de Administración de Empresas, Grado de Turismo, Grado de Economía, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo";"5";"This team is part of the Operational Processes department, providing internal services to all areas of the global bedbank business, the set of methods, tools and technologies used to design, enact, analyse and measure the business processes with the objective of improving performance.- Management, monitoring and reviewing improving and incidents, requests or doubts sent by the Hotelbeds Regions and functional areas.- Test of the improvements and projects to be implemented in the system.- Creation and update technical manuals.- General operation communications to the Regions, Functional Departments and Key users.";"turismo";"Palma";"550";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 17/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51113.html?locale=es"
"162";"Junior Database Developer";"51004";"Datos de interés, Grado de Ingeniería Informática, Ingeniería en informática";;"We offer:Long-term project that involves the use of latest technologies designed to connect one of the biggest tourism incoming and hotel trading companies in Europe with suppliers, customers and Global Distribution Systems.ResponsibilitiesAnalyses, designs and build store procedures in PL/SQL language to fulfil the business requirements.Create and maintain XSD/XML interfaces.Participates in the entity- relationship modeling and data model implementation.Liaise with developers to establish best practices and standards in areas of SQL and performance.Monitor performance and Instance/application optimization.Create scripting data handling in order to solve incidences and troubleshoot database usage issues and malfunctions.Plan, coordinate and deploy together with DevOps DB releases.Requierements:Bachelor Degree in Computer Science, Information Technology or related fields (more than 50% of ECTS).Basic working experience in DB OLTP preferred Oracle or PostgreSQL.Basic knowledge of XML, XSLT, XPath.Knowledge of and experience with Agile/XP Development, Scrum.Additional skills: Experience with NoSQL databases (Redis, Elasticsearch, MongoDB, etc)Ability to work proactively.Good analytical, organization and problem-solving skills.English would be a huge benefit.";"Informàtica";"Palma";"21.000";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51004.html?locale=es"
"163";"Auditor/a sin experiencia";"51000";"Datos de interés, Grado de Administración de Empresas, Licenciatura en administración y dirección de empresas, Doble titulación: grado de administración de empresas y grado de derecho, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Economía, Licenciatura en economía, Doble titulación: grado de economia y grado de turismo, Máster Universitario en Contabilidad y Auditoria";;"Tareas iniciales de auditoría: pruebas de cumplimiento, revisión y análisis inmovilizados, gastos de personal, gastos de explotación";"Auditoria i assessoria fiscal";"Palma";"16000";"Oferta laboral";"21/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51000.html?locale=es"
"164";"Programador/a .NET, JavaScript, Mobile";"50996";"Datos de interés, Grado de Ingeniería Informática, Grado de Ingeniería en Informática de Gestión, Grado en Ingeniería en Informática de Sistemas, Grado de Ingeniería Telemática, Ingeniería en informática, Ingeniería en telecomunicación, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Ingeniería técnica en telemática";;"Desarrollo de software. Tecnologies .NET, Javascript, Ext JS, deesarrollo de aplicaciones móbiles, Java, Oracle i SQL Server. Empram metodologia àgil (Kanban i JIRA). Equip jove i motivat. Immillorable ambient de feina i flexibilitat. Objectius personals i d'equip, projectes interns, activitats d'equip dins i fora de la feina.Divendres de 8 a 15h. Horari intensiu a l'estiu.Possibilitats reals d'incorporació indefinida a l'empresa.Oficines a Palma i Sa Pobla.";"Desenvolupament de software";"sa Pobla";"20000";"Oferta laboral";"17/01/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50996.html?locale=es"
"165";"Sales Performance Analyst internship";"50597";"Datos de interés, Grado de Economía, Grado de Administración de Empresas, Grado de Turismo, Doble titulación: grado de economia y grado de turismo, Doble titulación: grado de administración de empresas y grado de turismo";"5";"Help with the day to day tasks of the Sales Performance team, focused on:- Market analysis- Providing support to Front Line Teams- Commercial targets tracking- Preparation of reports";"turismo";"Palma";"550";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 05/04/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50597.html?locale=es"
"166";"Junior Java Developer";"50551";"Datos de interés, Grado de Ingeniería Informática, Ingeniería en informática, Grado de Ingeniería Telemática, Ingeniería en telecomunicación, Grado de Matemáticas, Licenciatura en matemáticas, Inglés";;"We offer:Long-term project that involves the use of latest technologies designed to connect one of the biggest tourism incoming and hotel trading companies in Europe with suppliers, customers and Global Distribution Systems.Responsibilities: - Participates in Java Middleware application development supporting business objectives while providing expertise in software development lifecycle phases from concept and design to testing.- Analyses, designs and build component-based applications in an on-line XML delivery environment, incl. modelling techniques, component and object-oriented design, complex algorithmic coding and systematic approaches to application and system integration.- Participates in Java Middleware development testing using and extending state of the art automated testing framework covering complete testing workflow from structured test design, systematic test execution to formal reporting.Requirements: - Bachelor Degree in Computer Science, Information Technology or related fields.- Basic working experience in XSLT, XPath- Knowledge in Microservices architecture/development: Linux containers, Docker, Kubernetes, - - Netflix OSS- Knowledge of and experience with Agile/XP Development, Scrum.- Experience with common testing frameworks.Additional skills:- Experience with Enterprise Middleware.- German would be a huge benefit.- Ability to work proactively.- Ability to remain organized at all times.";"Informàtica";"Palma";"20.000";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50551.html?locale=es"
"167";"Travel Designer Assistant";"50539";"Datos de interés, Inglés, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo";"5";"> Apoyar a los travel designers en la creación de viajes personalizados> Coordinación con Proveedores> Seguimiento de reservas y confirmaciones> Elaboración de propuestas y documentos para los clientes> Registro de gastos e ingresos para cada Expediente";"Agència de Viatges Online";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 28/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50539.html?locale=es"
"168";"Ingeniero/a agrónomo/a / paisajista";"50359";"Datos de interés, Grado de Ingeniería Agroalimentaria y del Medio Rural, Ingeniería técnica agrícola, Inglés, Ingeniero/a agrónomo/a";;"En centro de jardinería se requiere ingeniero/a agrónomo/a, paisajista o similar para realización de labores técnicas y administrativas, desarrollando las siguientes tareas:- Vistas a clientes.- Elaboración de planos y diseño de jardines- Desarrollo de presupuestos.- Presentación de proyecto y aprobación de presupuesto.- Control y seguimiento de obra.- Finalización y firma de proyecto- Tareas administrativas propias del puestoSe ofrece:- Contrato fijo- Jornada parcial 20h semanales con posibilidad de ampliación a jornada completa.";"Comerç de productes de jardineria i serveis tècnicas de paissatgisme i jardineria";"Palma";"-";"Oferta laboral";"17/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50359.html?locale=es"
"169";"Compensation & People Analytics Internship";"51216";"Datos de interés, Inglés, Microsoft Excel, Grado de Economía, Grado de Administración de Empresas, Grado de Turismo, Doble titulación: grado de economia y grado de turismo, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Relaciones Laborales";"5";"Si deseas aprender y desarrollarte en una de las áreas más interesantes del área de personas del Grupo Iberostar, ésta es tu oportunidad. Estamos buscando para el departamento corporativo de Compensation & People Analytics una persona para realizar prácticas a la cual le fascine la parte analítica.Entre sus funciones, destacar las siguientes:- Apoyo en la elaboración de informes y cuadro de mandos para Dirección General en Excel, SAP HR y entorno BI.- Soporte en el mantenimiento en sistema de la estructura organizativa del Grupo Iberostar.- Asistencia en la implantación y mantenimiento de las políticas retributivas del Grupo.- Soporte en las campañas generales de revisión salarial.- Apoyo en la valoración de puestos de trabajo de nueva creación.";"AGENCIAS DE VIAJES";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 22/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51216.html?locale=es"
"170";"Administración contable";"51165";"Datos de interés, Inglés, Grado de Administración de Empresas, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de derecho, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo";"5";"Realización de facturasEmisión de recibosContabilizar según el PGCPresentación de impuestosElaboración de documentación el protección de datos.Atención telefónica y presencial con el cliente.";"Asesoría Fiscal y Laboral";"Palma";"400";"Prácticas para estudiantes universitarios grado y postgrado";"10/01/2019 - 01/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51165.html?locale=es"
"171";"Gerocultor/a";"50997";"Datos de interés, Diplomatura en enfermería, Diplomatura en terapia ocupacional, Grado de Enfermería, Auxiliar de clínica";;"-Apoyo en tareas asistenciales -Integración de los usuarios/as en el día a día del centro-Ayuda en la higiene-Ayuda a la deambulación y en las transferencias-Apoyo en la ingesta";"Multiserveis";"Pollença";"369,50";"Oferta laboral";"14/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50997.html?locale=es"
"172";"Control de calidad de los servicios handling";"50995";"Datos de interés, Inglés, Grado de Ingeniería Electrónica Industrial y Automática, Grado de Administración de Empresas, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Microsoft Excel, Microsoft Word, Outlook";"5";"Familiarización con la operativa del Aeropuerto-Control de calidad de procedimientos utilizados por agentes handling y de la conducción de pasarelasToma de datos de diferentes parámetros de controlControl de regularización de equipajes extraviadosControl de servicios liberalizadosTrabajo interno con los datos recogidosPosibilidad de tramitar permiso de conducción en plataforma PCP";"Ingenieros Consultores y Arquitectos especialistas en procesos, infraestructuras, y sistemas para Aeropuertos, Industrias Aeronáuticas, Edificación e Infraestructuras Tecnológicas";"Palma";"540";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50995.html?locale=es"
"173";"Técnico empresa contra incendios";"51157";"Datos de interés, Inglés, Ingeniería técnica industrial, Grado de Ingeniería Electrónica Industrial y Automática, Ingeniería industrial, Ingeniero/a industrial, Patrón de embarcación de recreo, Linux, Autocad, Python, Estancias en el extranjero";;"- Responsable técnico de la empresa- Responsable de calidad siguiendo la ISO 9001- Responsable de las inspecciones y las instalaciones de los equipos y sistemas contra incendios- Ejecución de proyectos contra incendios- Conocimiento y mantenimiento de la normativa de aplicación- Elaboración de presupuestos.- Contacto directo con los clientes y los distribuidores.";"Empresa habilitada sistemes i equips contra incendis nàutics/terrestres equips a pressió.";"Palma";"20000";"Oferta laboral";"15/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51157.html?locale=es"
"174";"Responsable Ingeniero/a Electro-mecánico";"51155";"Datos de interés, Inglés, Microsoft Word, Microsoft Excel, Microsot Access, Ingeniería técnica industrial, Grado de Ingeniería Electrónica Industrial y Automática, Ingeniero/a técnico/a industrial";;"-Gestionará el departamento de instalaciones mecánicas y coordinará sus trabajos y la toma de decisiones del día a día -Experiencia en oficina técnica en instalaciones mecánicas -Colaboración con los clientes y negociación con los mismos-Gestionará al equipo de trabajo";"Instalación de telecomunicaciones, climatización, fontanería, electricidad y domótica.";"";"Según valía del candidato";"Oferta laboral";"10/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51155.html?locale=es"
"175";"Content /SEO JR (italia)";"51074";"Datos de interés, Italiano, Doble titulación: grado de administración de empresas y grado de turismo, Licenciatura en administración y dirección de empresas, Grado de Administración de Empresas, Grado de Turismo, Diplomatura en turismo";;"Main functions:As part of the Content Marketing Department, you will be responsible for the italian market and will work to increase its traffic and performance. You will work on a variety of innovative projects within the sector which will include: -Creating content for the blog for SEO (Search Engine Optimization) and social media purposes. -Email marketing campaigns and benchmarking:You will analyse the data of searches and website traffic to create relevant and exciting campaigns that will generate more traffic towards our site and also excellent conversion rates.Trialling A/B tests to improve the performance and user experience of campaigns and our brand.-Creating push notification campaigns:Here at Hundredrooms, you will have the opportunity to learn everything there is to know about one of the most exciting e-marketing channels that is emerging in 2018.You will develop a series of various campaigns and segmented sends that are in keeping with a strategy of personalised and quality content.-Social media marketing:You choose the content that we publish every week, and decide how and when we do it by carrying out A/B tests to see what works best for your market.-Measuring the impact of our content strategy by analysing our main KPIs.";"El primer metabuscador creado con el objetivo de ofrecer la mejor calidad al menor precio de apartamentos, hoteles y casas para que tu búsqueda sea más rápida y fácil.";"Palma";"10000 anuales";"Oferta laboral";"10/01/2019 - 18/11/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51074.html?locale=es"
"176";"Técnico de RRHH";"50970";"Datos de interés, Grado de Relaciones Laborales, Diplomatura en relaciones laborales";;"Desde el grupo azuLine estamos buscando un/a Técnico de RRHH para incorporar de manera inmediata a nuestro equipo.¿Cuáles serían tus funciones?- Gestión de altas y bajas en Seguridad Social.- Realización de nóminas.- Realización de contratos.- Contrat@.- Certific@2 de empresa- Seguros sociales.- Delt@.- Siltr@.- Incapacidades temporales.¿Qué requisitos cumpliría nuestro candidato ideal?- Formación universitaria en Relaciones Laborales o similar.- Se valorará experiencia en el puesto.¿Qué te ofrecemos?- Salario 21.000?/brutos anuales.- Contrato para todo el año.- Alojamiento si fuera necesario los primeros 3-6 meses.";"Hostelería";"Eivissa";"21.000";"Oferta laboral";"14/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50970.html?locale=es"
"177";"Full Stack Developer";"50847";"Datos de interés, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Grado de Ingeniería Informática, Ingeniería en informática";;"En Innovation precisamos incorporar a un/a Programador/a para formar parte de nuestro equipo en Palma. Damos servicios de gestión completa de una de las principales plataformas turísticas en España. La persona que se incorporé con nosotros formará parte de nuestro equipo Devops utilizando las últimas tecnologías en el mercado.Habilidades específicas para el puesto:Programamción en aplicaciones web y de escitorio en:C# .NET - MVC, Ajax, entity frameworkJavascriptMaquetación - HTML5, CSS3Experiencia con KendoUI, Telerik, JQuery, DevExpressExperiencia en arquitectura de capas e inyección de dependenciasConocimientos de BBDD relacionales.Control de código fuente - Team Foundation Server, Gitlab.Experiencia en e- Commerce e integraciñon de servicios.Innovation Strategies somos una compañía consolidada con un crecimiento sostenido, ofrecemos oportunidades de desarrollo profesional, y estar en contacto con la tecnología más avanzada y proyectos interesantes.Somos en un equipo de profesionales motivados, con un ambiente de trabajo innovador y dinámico.También ofrecemos:-Formación y certificaciones técnicas.-Flexibilidad horaria y posibilidad de Teletrabajo.-Plan de retribución flexible acorde a tus necesidades (seguro médico privado, tarjeta / cheque restaurante...).Si eres una persona apasionada con las tecnologías, buscas formas diferentes de hacer las cosas, generas buenas relaciones con compañeros y clientes, persigues la calidad excepcional en cada nuevo reto que asumes y piensas que todo es posible, únete a nuestro equipo.";"";"Palma";"15000 - 18000";"Oferta laboral";"09/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50847.html?locale=es"
"178";"Prácticas en BI - Perfiles Técnicos";"50490";"Datos de interés, Grado de Ingeniería Informática, Grado de Matemáticas, Doble titulación: grado de matemáticas y ingeniería telemática, Grado de Ingeniería Telemática";"5";"Se busca persona en prácticas para trabajar en el departamento de Business Intelligence  & Analytics (Big Data) de GRUPO IBEROSTAR con las siguientes características:Perfil deseado:-Cursando informática, ingeniería, matemáticas o carrera técnica.-Alto nivel de razonamiento, comprensión y adaptación a cambios y mejoras.-Muy comunicativo/a y resolutivo/a.-Proactivo/a, imaginativo/a.- Conocimiento en Bases de Datos (a nivel de programación): principalmente SQL Server. Secundariamente: MySql, Oracle.-Capacidad de llevar múltiples tareas y realizar el seguimiento de las mismas.-Alto grado de responsabilidad.-Conocer técnicas y herramientas de análisis estadístico y predictivo, así como estar familiarizado con lenguajes de programación (SPSS, R, Matlab, etc.).-Poseer habilidades técnicas para aprender y dominar las herramientas de Business Intelligence que se le enseñen.- Buen conocimiento del paquete MSoffice, especialmente Excel y PowerPoint.-Conocimiento de inglés técnico para las herramientas y situaciones que se presenten.";"AGENCIAS DE VIAJES";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"12/03/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50490.html?locale=es"
"179";"Gestión y operaciones";"50655";"Datos de interés, Inglés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Turismo, Grado de Economía, Doble titulación: grado de economia y grado de turismo, Alemán";"5";"Las prácticas se desarrollarán en un Resort de alojamiento y práctica de golf.El candidato/a seleccionado/a realizará, principalmente, las siguientes funciones: recepción de clientes, gestión de cobros, contabilidad analítica, relación con TT.OO, comercialización y marketing.";"Resort dedicat a l'allojament i pràctica del golf";"Son Servera";"450";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 30/04/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50655.html?locale=es"
"180";"Técnico/a de selección / Senior Talent Advisor";"50565";"Datos de interés, Inglés, Grado de Relaciones Laborales, Grado de Psicología, Diplomatura en relaciones laborales, Licenciatura en psicología, Máster U. en Gestión de Recursos Humanos. Interv. Psicológica y Pedagógica";;"Key Responsibilities:- Business Consultation and Partnering - Conduct in-depth consultation with the business in order to fully align candidate sourcing activities with the role requirements (current and future).- Provide regular progress reports to Senior Managers and HR Business Partners team on applicant response and candidate status.- Provide recruitment counsel and guidance to hiring managers and HR colleagues in all matters relating to talent acquisition and the hiring market. Candidate Attraction - Source and attract key external talent at all levels of the organisation including senior leadership hires.- Develop a range of sourcing strategies tailored to meet the diverse needs of specific business unit or sector functions.- Headhunt passive talent and continuously build talent pipelines in line with business growth areas.- Deliver a compelling EVP message to candidates and act as brand ambassador for the Hotelbeds Group.- Deliver a Superior Candidate Experience.- Deliver a consistent, seamless end-to-end recruitment service in line with agreed SLA´s and standards.- Deliver a positive candidate experience throughout the recruitment process, including candidate screening, interview, assessment, feedback and offer negotiation.- Align competency based assessments with the HBG Leadership behaviours to ensure optimal cultural fit.Service Excellence - Maintain strong subject matter expertise in order to provide advice on market knowledge, competitor analysis and best practice approaches.- Contribute to Talent CoE driven projects and initiatives, providing input and support as required.- Support the development of colleagues within the Talent CoE with assistance in upskilling / new staff induction training needs.Metrics and Measures - Provide monthly MI reporting to Head of Talent CoE relating to pre-defined recruiting metrics and measures.- Manage and update the ATS to ensure accurate record of interview arrangements and applicant tracking.";"Industria Hotelera & Turismo";"";"Negociable en función de la experiencia";"Oferta laboral";"14/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50565.html?locale=es"
"181";"Servicio Lingüístico";"50426";"Datos de interés, Grado de Lengua y Literatura Catalanas, Máster U. en Lengua y Literatura Catalanas: C. A. C. del Pat. Inmat., Open Office";"5";"- Corrección de documentos en catalán- Apoyo en la organización de actividades culturales- Apoyo administrativo al Servicio Lingüístico";"Administració pública";"Manacor";"450";"Prácticas para estudiantes universitarios grado y postgrado";"14/01/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50426.html?locale=es"
"182";"Consultor/a Técnico I+D+i";"51222";"Datos de interés, Grado de Ingeniería en Organización Industrial, Grado de Ingeniería Telemática, Grado de Ingeniería Informática, Grado de Ingeniería en Tecnologías de Comunicación, Grado de Ingeniería Mecánica, Ingeniería técnica en informática de gestión, Ingeniería técnica en telemática, Ingeniería técnica en informática de sistemas, Ingeniería en informática, Ingeniería en telecomunicación, Ingeniería técnica en telecomunicación";;"En F. Iniciativas buscamos profesionales con formación en ingeniería Industrial, mecánica, telecomunicaciones, Informática o similar, que tengan especial interés en iniciar su carrera en el mundo de la consultoría y formar parte de nuestro proyecto de expansión.Como CONSULTOR TÉCNICO te incorporarás a un equipo joven y dinámico y, a través de un Plan de Formación y el seguimiento de tu Responsable, te ayudaremos a desarrollar las competencias clave para obtener financiación para los proyectos de nuestros clientes.Te responsabilizaras de documentar técnica y económicamente las actividades de I+D+i, con lo que estarás en contacto con proyectos de diferente índole en el campo de la I+D+i, permitiéndote tener una visión global del nivel de desarrollo de nuestro país. También te encargarás de la gestión operativa del proyecto, dando apoyo en la identificación de proyectos, en el seguimiento de procesos de certificación, resolución de No Conformidades y en defensa de la estrategia de agrupación de los proyectos, entre otras actividades.Te ofrecemos:- Buen ambiente laboral rodeado de personal joven y dinámico que te ayudará a crecer profesionalmente.- Incorporación a empresa líder en su sector en constante crecimiento.- Horario flexible.- Plan de formación y otros beneficios sociales. - Se garantiza total confidencialidad en todos los procesosSi quieres formar parte de este gran equipo y ser una pieza clave de nuestro proyecto de expansión internacional, ésta es tu oferta!!!";"Consultoria Estrategica";"Palma";"18000";"Oferta laboral";"07/01/2019 - 18/12/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51222.html?locale=es"
